epoch #,Training loss (MSE),Validation loss (MSE)
0,0.005619154733210576,0.0007533717370295728
1,0.0007484391668783219,0.000747805692027958
2,0.000745259016498246,0.0007420818407924592
3,0.0007378408292477781,0.0007343481617069549
4,0.0007356753998407812,0.0007262314384041185
5,0.0007253097562316918,0.0007185072360285134
6,0.0007154378592685768,0.0007237361336063425
7,0.000702152194173047,0.0006984348478197882
8,0.0006848681051792069,0.0006708222306703894
9,0.0006653078893397116,0.0006495493644351055
10,0.0006355969555337321,0.0006173227277891287
11,0.0006033006291554281,0.000579795711515048
12,0.000562397209278336,0.0005423563514142932
13,0.0005112677836988234,0.0004810472673720638
14,0.000457097507872139,0.00042934075676550324
15,0.0004055919695934845,0.00037769309659118087
16,0.00035858734567988326,0.0003360855748972178
17,0.0003175908092966755,0.0003065671056868847
18,0.0002877819228945582,0.000279717713710852
19,0.00026903843160394126,0.0002574033244904554
20,0.00025535384319002994,0.0002485781448062467
21,0.00024565779483016353,0.0002380701717497273
22,0.00024006532984574073,0.00023923851975599642
23,0.00023525611957831476,0.00023509496774005872
24,0.00023191217510170784,0.00023537638803562997
25,0.0002303828437897292,0.00023725865309560587
26,0.0002280276866142892,0.00022429848346457054
27,0.00022676429594161384,0.00022995293838903307
28,0.000228190272034033,0.00022457161883887073
29,0.0002243191145050029,0.00022307739992604846
30,0.00022422492570794102,0.00022031546457914044
31,0.00022665822675282306,0.00022075677684783428
32,0.0002227908051078857,0.00022061032549986108
33,0.0002202516395746815,0.0002186178777430376
34,0.00022399936976249922,0.00022371017921779475
35,0.00022007570980173168,0.00021994737085399472
36,0.0002248778025669074,0.00022727487395803275
37,0.00022042200640972817,0.00022091856104618107
38,0.0002185206501885797,0.00021495378004725684
39,0.00022002151842003294,0.0002165984132708135
40,0.00021792727080173792,0.00023005636493590744
41,0.00021752938706159704,0.00022940559196285904
42,0.00021734403005349592,0.00021615004177543928
43,0.0002186852202179249,0.00021521398932567205
44,0.00021720737108791416,0.00021693382189947772
45,0.00021888853637431043,0.00021727639698920857
46,0.00021576969102236697,0.00021952438974536065
47,0.00021684158597649498,0.00022408014138239774
48,0.0002173668829597194,0.0002213500372388146
49,0.00021443233951559348,0.00021594446795378727
50,0.000218395523769273,0.00021358273195801303
51,0.0002142704352630641,0.00021681416419927369
52,0.00021864788365818448,0.00021455792028890838
53,0.00021326039991143977,0.00020995561772989193
